id,title,description,link,categories_id,categories_title,sources_id,sources_url,date,type,coordinates
EONET_6452,"Dukono Volcano, Indonesia",,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6452,12,Volcanoes,SIVolcano,https://volcano.si.edu/volcano.cfm?vn=268010,2023-11-07T00:00:00Z,Point,"[127.8783, 1.6992]"
EONET_6450,Wvnrp Steep Valley Fire Information,,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6450,8,Wildfires,InciWeb,http://inciweb.nwcg.gov/incident-information/wvnrp-steep-valley-fire,2023-11-06T19:00:00Z,Point,"[-80.7903, 37.9125]"
EONET_6453,"Ulawun Volcano, Papua New Guinea",,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6453,12,Volcanoes,SIVolcano,https://volcano.si.edu/volcano.cfm?vn=252120,2023-11-02T00:00:00Z,Point,"[151.33, -5.05]"
EONET_6449,"Ioto Volcano, Japan",,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6449,12,Volcanoes,SIVolcano,https://volcano.si.edu/volcano.cfm?vn=284120,2023-10-30T00:00:00Z,Point,"[141.289, 24.751]"
EONET_6448,Iceberg D34,,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6448,15,Sea and Lake Ice,NATICE,https://usicecenter.gov/pub/Iceberg_Tabular.csv,2023-10-20T00:00:00Z,Point,"[82.12, -67.18]"
EONET_6423,Iceberg D33A,,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6423,15,Sea and Lake Ice,NATICE,https://usicecenter.gov/pub/Iceberg_Tabular.csv,2023-09-08T00:00:00Z,Point,"[17.14, -69.38]"
EONET_6424,Iceberg D33B,,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6424,15,Sea and Lake Ice,NATICE,https://usicecenter.gov/pub/Iceberg_Tabular.csv,2023-09-08T00:00:00Z,Point,"[18.3, -69.64]"
EONET_6418,Peacock Fire Information,,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6418,8,Wildfires,InciWeb,http://inciweb.nwcg.gov/incident-information/txtxs-peacock-fire,2023-09-04T21:08:00Z,Point,"[-100.3936, 33.2128]"
EONET_6427,Olympic National Park Lightning Fires,,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6427,8,Wildfires,InciWeb,http://inciweb.nwcg.gov/incident-information/waolp-2023-olympic-national-park-lightning-fires,2023-08-28T20:30:00Z,Point,"[-123.5278, 47.7369]"
EONET_6388,Flat Fire Information,,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6388,8,Wildfires,InciWeb,http://inciweb.nwcg.gov/incident-information/xx1002-flat-fire,2023-07-15T21:51:00Z,Point,"[-124.0372, 42.5158]"
EONET_6381,"Klyuchevskoy Volcano, Russia",,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6381,12,Volcanoes,EO,https://earthobservatory.nasa.gov/images/152037/volcanic-plume-billows-from-klyuchevskoy,2023-07-06T00:00:00Z,Point,"[160.642, 56.056]"
EONET_6386,"Sheveluch Volcano, Russia",,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6386,12,Volcanoes,SIVolcano,https://volcano.si.edu/volcano.cfm?vn=300270,2023-07-02T00:00:00Z,Point,"[161.36, 56.653]"
EONET_6377,"Ubinas Volcano, Peru",,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6377,12,Volcanoes,SIVolcano,https://volcano.si.edu/volcano.cfm?vn=354020,2023-06-25T00:00:00Z,Point,"[-70.903, -16.355]"
EONET_6375,"Mayon Volcano, Philippines",,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6375,12,Volcanoes,SIVolcano,https://volcano.si.edu/volcano.cfm?vn=273030,2023-06-14T00:00:00Z,Point,"[123.685, 13.257]"
EONET_6369,"Ibu Volcano, Indonesia",,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6369,12,Volcanoes,SIVolcano,https://volcano.si.edu/volcano.cfm?vn=268030,2023-06-06T00:00:00Z,Point,"[127.63, 1.488]"
EONET_6370,"Wilbur Fire, Arizona",,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6370,8,Wildfires,InciWeb,https://inciweb.nwcg.gov/incident-information/azcof-wilbur-fire,2023-05-21T00:00:00Z,Point,"[-111.466806, 34.551083]"
EONET_6350,"Major Fire, Ocala National Forest, Florida, United States",,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6350,8,Wildfires,InciWeb,http://inciweb.nwcg.gov/incident-information/flfnf-major,2023-04-27T14:15:00Z,Point,"[-81.688889, 29.229722]"
EONET_6343,Great Lake Fire,,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6343,8,Wildfires,InciWeb,http://inciweb.nwcg.gov/incident-information/ncncf-great-lakes,2023-04-19T19:14:00Z,Point,"[-77.051228, 34.870158]"
EONET_6330,Iceberg A80D,,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6330,15,Sea and Lake Ice,NATICE,https://usicecenter.gov/pub/Iceberg_Tabular.csv,2023-02-23T00:00:00Z,Point,"[-59.34, -72.19]"
EONET_6320,Iceberg A81,,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6320,15,Sea and Lake Ice,NATICE,https://usicecenter.gov/pub/Iceberg_Tabular.csv,2023-01-27T00:00:00Z,Point,"[-27.16, -75.66]"
EONET_6319,"Lewotolok Volcano, Indonesia",,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6319,12,Volcanoes,SIVolcano,http://volcano.si.edu/volcano.cfm?vn=264230,2023-01-14T00:00:00Z,Point,"[123.505, -8.272]"
EONET_6309,"Nevado del Ruiz Volcano, Colombia",,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6309,12,Volcanoes,SIVolcano,https://volcano.si.edu/volcano.cfm?vn=351020,2022-12-03T13:02:17Z,Point,"[-75.324, 4.892]"
EONET_6302,Iceberg A80A,,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6302,15,Sea and Lake Ice,NATICE,https://usicecenter.gov/pub/Iceberg_Tabular.csv,2022-12-02T00:00:00Z,Point,"[-60.27, -71.77]"
EONET_6288,Iceberg D32,,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6288,15,Sea and Lake Ice,NATICE,https://usicecenter.gov/pub/Iceberg_Tabular.csv,2022-10-21T00:00:00Z,Point,"[70.68, -68.36]"
EONET_6280,Nakia Creek Fire,,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6280,8,Wildfires,InciWeb,http://inciweb.nwcg.gov/incident/8443/,2022-10-09T15:45:00Z,Point,"[-122.281, 45.696]"
EONET_6269,Bovee Fire,,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6269,8,Wildfires,InciWeb,http://inciweb.nwcg.gov/incident/8437/,2022-10-02T13:38:00Z,Point,"[-100.31, 41.869]"
EONET_6283,Siouxon Fire,,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6283,8,Wildfires,InciWeb,http://inciweb.nwcg.gov/incident/8436/,2022-09-22T18:30:00Z,Point,"[-122.089, 45.944]"
EONET_6246,Bolt Creek Fire,,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6246,8,Wildfires,InciWeb,http://inciweb.nwcg.gov/incident/8417/,2022-09-10T05:15:00Z,Point,"[-121.346, 47.728]"
EONET_6242,Eagle Creek Fire,,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6242,8,Wildfires,InciWeb,http://inciweb.nwcg.gov/incident/8413/,2022-09-07T14:30:00Z,Point,"[-109.682, 48.139]"
EONET_6225,Mosquito Fire,,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6225,8,Wildfires,InciWeb,http://inciweb.nwcg.gov/incident/8398/,2022-09-06T18:27:00Z,Point,"[-120.719, 39.01]"
EONET_6241,Washakie Park Fire,,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6241,8,Wildfires,InciWeb,http://inciweb.nwcg.gov/incident/8418/,2022-09-06T15:15:00Z,Point,"[-109.138, 42.989]"
EONET_6227,NW Pasayten Fires,,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6227,8,Wildfires,InciWeb,http://inciweb.nwcg.gov/incident/8397/,2022-09-06T06:00:00Z,Point,"[-120.818, 48.913]"
EONET_6223,Fairview Fire,,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6223,8,Wildfires,InciWeb,http://inciweb.nwcg.gov/incident/8402/,2022-09-05T15:40:00Z,Point,"[-116.891, 33.714]"
EONET_6233,Radford Fire,,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6233,8,Wildfires,InciWeb,http://inciweb.nwcg.gov/incident/8390/,2022-09-05T13:30:00Z,Point,"[-116.882, 34.177]"
EONET_6220,Seven Bays Fire,,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6220,8,Wildfires,InciWeb,http://inciweb.nwcg.gov/incident/8391/,2022-09-04T15:35:00Z,Point,"[-118.323, 47.828]"
EONET_6238,Boulder Lake Fire,,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6238,8,Wildfires,InciWeb,http://inciweb.nwcg.gov/incident/8395/,2022-09-03T21:00:00Z,Point,"[-113.81999999, 47.070999999]"
EONET_6229,Bull Gin Complex Fire,,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6229,8,Wildfires,InciWeb,http://inciweb.nwcg.gov/incident/8381/,2022-09-02T20:50:00Z,Point,"[-115.826, 48.087]"
EONET_6281,Loch Katrine Fire,,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6281,8,Wildfires,InciWeb,http://inciweb.nwcg.gov/incident/8447/,2022-09-02T00:00:00Z,Point,"[-121.661, 47.644]"
EONET_6226,Chilliwack Complex Fire,,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6226,8,Wildfires,InciWeb,http://inciweb.nwcg.gov/incident/8394/,2022-09-01T19:00:00Z,Point,"[-121.38, 48.925]"
EONET_6209,Double Creek Fire,,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6209,8,Wildfires,InciWeb,http://inciweb.nwcg.gov/incident/8366/,2022-08-30T17:00:00Z,Point,"[-116.739, 45.428]"
EONET_6282,Suiattle River Fire,,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6282,8,Wildfires,InciWeb,http://inciweb.nwcg.gov/incident/8396/,2022-08-30T14:45:00Z,Point,"[-121.392, 48.311]"
EONET_6210,Williams Creek Fire,,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6210,8,Wildfires,InciWeb,http://inciweb.nwcg.gov/incident/8372/,2022-08-29T16:30:00Z,Point,"[-115.652, 45.693]"
EONET_6211,Trail Ridge Fire,,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6211,8,Wildfires,InciWeb,http://inciweb.nwcg.gov/incident/8365/,2022-08-26T13:15:00Z,Point,"[-113.867, 45.78]"
EONET_6205,Nebo Fire,,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6205,8,Wildfires,InciWeb,http://inciweb.nwcg.gov/incident/8363/,2022-08-25T16:30:00Z,Point,"[-117.11, 45.133]"
EONET_6200,Sturgill Fire,,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6200,8,Wildfires,InciWeb,http://inciweb.nwcg.gov/incident/8364/,2022-08-22T12:00:00Z,Point,"[-117.534, 45.284]"
EONET_6195,Crockets Knob Fire,,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6195,8,Wildfires,InciWeb,http://inciweb.nwcg.gov/incident/8355/,2022-08-22T03:00:00Z,Point,"[-118.708, 44.728]"
EONET_6239,Margaret Fire,,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6239,8,Wildfires,InciWeb,http://inciweb.nwcg.gov/incident/8393/,2022-08-22T00:00:00Z,Point,"[-113.808, 48.1]"
EONET_6182,Wagner Road Fire,,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6182,8,Wildfires,InciWeb,http://inciweb.nwcg.gov/incident/8344/,2022-08-18T14:04:00Z,Point,"[-117.857, 47.086]"
EONET_6196,Rum Creek Fire,,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6196,8,Wildfires,InciWeb,http://inciweb.nwcg.gov/incident/8348/,2022-08-17T12:00:00Z,Point,"[-123.628, 42.641]"
EONET_6174,"Garceau Fire, W of Polson, Montana, United States",,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6174,8,Wildfires,InciWeb,https://inciweb.nwcg.gov/incident/8339/,2022-08-16T00:00:00Z,Point,"[-114.489, 47.694]"
EONET_6216,Ross Fork Fire,,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6216,8,Wildfires,InciWeb,http://inciweb.nwcg.gov/incident/8375/,2022-08-14T14:45:00Z,Point,"[-114.98, 43.811]"
EONET_6183,Quartz Fire,,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6183,8,Wildfires,InciWeb,http://inciweb.nwcg.gov/incident/8337/,2022-08-14T10:15:00Z,Point,"[-114.025, 48.854]"
EONET_6165,Mohr Fire,,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6165,8,Wildfires,InciWeb,https://inciweb.nwcg.gov/incident/8322/,2022-08-11T00:00:00Z,Point,"[-119.919, 47.533]"
EONET_6181,White River  Fire,,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6181,8,Wildfires,InciWeb,http://inciweb.nwcg.gov/incident/8329/,2022-08-11T00:00:00Z,Point,"[-120.917, 47.885]"
EONET_6240,Goat Rocks Fire,,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6240,8,Wildfires,InciWeb,http://inciweb.nwcg.gov/incident/8415/,2022-08-09T00:00:00Z,Point,"[-121.517, 46.636]"
EONET_6197,Rodgers Fire,,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6197,8,Wildfires,InciWeb,http://inciweb.nwcg.gov/incident/8333/,2022-08-08T00:00:00Z,Point,"[-119.552, 37.954]"
EONET_6175,"Stromboli Volcano, Italy",,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6175,12,Volcanoes,SIVolcano,http://volcano.si.edu/volcano.cfm?vn=211040,2022-08-07T00:00:00Z,Point,"[15.213, 38.789]"
EONET_6158,Six Rivers Lightning Complex Fire,,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6158,8,Wildfires,InciWeb,http://inciweb.nwcg.gov/incident/8312/,2022-08-05T00:00:00Z,Point,"[-123.598, 40.907]"
EONET_6191,Red Fire,,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6191,8,Wildfires,InciWeb,http://inciweb.nwcg.gov/incident/8332/,2022-08-04T00:00:00Z,Point,"[-119.471, 37.661]"
EONET_6151,Yeti and Alex Fires,,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6151,8,Wildfires,InciWeb,https://inciweb.nwcg.gov/incident/8299/,2022-08-02T00:00:00Z,Point,"[-123.278, 41.868]"
EONET_6186,Norton Fire,,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6186,8,Wildfires,InciWeb,http://inciweb.nwcg.gov/incident/8308/,2022-08-01T17:30:00Z,Point,"[-114.927, 44.857]"
EONET_6155,Cedar Creek Fire,,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6155,8,Wildfires,InciWeb,http://inciweb.nwcg.gov/incident/8307/,2022-08-01T00:00:00Z,Point,"[-122.166, 43.74]"
EONET_6148,Windigo Fire,,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6148,8,Wildfires,InciWeb,http://inciweb.nwcg.gov/incident/8292/,2022-07-30T00:00:00Z,Point,"[-122.052, 43.363]"
EONET_6153,Weasel Fire,,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6153,8,Wildfires,InciWeb,http://inciweb.nwcg.gov/incident/8290/,2022-07-30T00:00:00Z,Point,"[-114.748, 48.977]"
EONET_6141,Elmo Fire,,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6141,8,Wildfires,InciWeb,http://inciweb.nwcg.gov/incident/8289/,2022-07-29T16:00:00Z,Point,"[-114.507, 47.818]"
EONET_6140,McKinney Fire,,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6140,8,Wildfires,InciWeb,http://inciweb.nwcg.gov/incident/8287/,2022-07-29T14:15:00Z,Point,"[-122.885, 41.819]"
EONET_6164,Yeti and Alex Fires,,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6164,8,Wildfires,InciWeb,http://inciweb.nwcg.gov/incident/8299/,2022-07-29T00:00:00Z,Point,"[-123.278, 41.868]"
EONET_6131,Oak FIre,,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6131,8,Wildfires,CALFIRE,https://www.fire.ca.gov/incidents/2022/7/22/oak-fire/,2022-07-22T09:50:08Z,Point,"[-119.9234728, 37.5509366]"
EONET_6133,Oak Fire,,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6133,8,Wildfires,InciWeb,http://inciweb.nwcg.gov/incident/8280/,2022-07-22T00:00:00Z,Point,"[-119.921, 37.549]"
EONET_6132,C3 Fire,,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6132,8,Wildfires,InciWeb,http://inciweb.nwcg.gov/incident/8276/,2022-07-21T11:30:00Z,Point,"[-113.228, 35.859]"
EONET_6122,Moose Fire,,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6122,8,Wildfires,InciWeb,http://inciweb.nwcg.gov/incident/8249/,2022-07-17T16:00:00Z,Point,"[-114.091, 45.375]"
EONET_6129,Woodtick Fire,,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6129,8,Wildfires,InciWeb,http://inciweb.nwcg.gov/incident/8253/,2022-07-14T17:00:00Z,Point,"[-114.632, 44.854]"
EONET_6144,Clover Fire,,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6144,8,Wildfires,InciWeb,http://inciweb.nwcg.gov/incident/8262/,2022-07-13T19:00:00Z,Point,"[-111.87, 45.048]"
EONET_6115,Jacob City Fire,,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6115,8,Wildfires,InciWeb,http://inciweb.nwcg.gov/incident/8224/,2022-07-09T14:34:00Z,Point,"[-112.323, 40.423]"
EONET_6113,Becky Peak Fire,,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6113,8,Wildfires,InciWeb,http://inciweb.nwcg.gov/incident/8210/,2022-07-09T11:00:00Z,Point,"[-114.588, 39.93]"
